,representation,max_depth,max_features,min_samples_split,n_estimators,mean_val_acc,mean_val_tpr,mean_val_tnr
23,X_bot_feat,5,500,15,200,0.9736722146897939,0.8297570850202429,0.9956646229497992
24,X_bot_feat,10,50,5,100,0.9688788629669455,0.7653171390013496,1.0
25,X_bot_feat,10,50,5,200,0.9678514657066716,0.7574898785425102,1.0
26,X_bot_feat,10,50,10,100,0.9688788629669455,0.7651821862348178,1.0
27,X_bot_feat,10,50,10,200,0.9685363972135208,0.7625506072874494,1.0
28,X_bot_feat,10,50,15,100,0.9692224975454673,0.7678812415654521,1.0
29,X_bot_feat,10,50,15,200,0.968537566038618,0.762685560053981,1.0
30,X_bot_feat,10,100,5,100,0.9774311562017859,0.8349527665317138,0.9992125984251968
31,X_bot_feat,10,100,5,200,0.9770886904483612,0.8323211875843455,0.9992125984251968
32,X_bot_feat,10,100,10,100,0.9774323250268828,0.834885290148448,0.9992125984251968
33,X_bot_feat,10,100,10,200,0.9774323250268828,0.834885290148448,0.9992125984251968
34,X_bot_feat,10,100,15,100,0.9781149188835382,0.8400809716599191,0.9992125984251968
35,X_bot_feat,10,100,15,200,0.9770886904483612,0.8323211875843455,0.9992125984251968
36,X_bot_feat,10,250,5,100,0.9784573846369629,0.8581646423751688,0.996845725312004
37,X_bot_feat,10,250,5,200,0.9791434849689095,0.855668016194332,0.9980283838038032
38,X_bot_feat,10,250,10,100,0.97845855346206,0.8477732793522268,0.9984220845912046
39,X_bot_feat,10,250,10,200,0.97845855346206,0.8504723346828611,0.9980268276742088
40,X_bot_feat,10,250,15,100,0.9794859507223339,0.8556005398110662,0.9984220845912046
41,X_bot_feat,10,250,15,200,0.9784573846369629,0.8504048582995951,0.9980283838038032
42,X_bot_feat,10,500,5,100,0.9787998503903876,0.8633603238866396,0.9964535806541969
43,X_bot_feat,10,500,5,200,0.9781160877086353,0.8582321187584345,0.9964535806541969
44,X_bot_feat,10,500,10,100,0.9781160877086353,0.8581646423751688,0.9964535806541969
45,X_bot_feat,10,500,10,200,0.9787998503903876,0.8632928475033739,0.9964535806541969
46,X_bot_feat,10,500,15,100,0.9787998503903876,0.8633603238866396,0.9964535806541969
47,X_bot_feat,10,500,15,200,0.9784573846369631,0.8607962213225371,0.9964535806541969
48,X_bot_feat,20,50,5,100,0.9811936041890693,0.8632928475033739,0.9992125984251968
49,X_bot_feat,20,50,5,200,0.9801673757538923,0.8555330634278002,0.9992125984251968
50,X_bot_feat,20,50,10,100,0.9811936041890693,0.8607287449392713,0.9996062992125985
51,X_bot_feat,20,50,10,200,0.9808523072607416,0.8607962213225371,0.9992125984251968
52,X_bot_feat,20,50,15,100,0.9811924353639723,0.8606612685560053,0.9996062992125985
53,X_bot_feat,20,50,15,200,0.980509841507317,0.8581646423751688,0.9992125984251968
54,X_bot_feat,20,100,5,100,0.9822198326242463,0.8710526315789474,0.9992125984251968
55,X_bot_feat,20,100,5,200,0.9808523072607416,0.8607962213225372,0.9992125984251968
56,X_bot_feat,20,100,10,100,0.9801662069287953,0.8581646423751688,0.9988173415082008
57,X_bot_feat,20,100,10,200,0.9808523072607416,0.8607287449392713,0.9992125984251968
58,X_bot_feat,20,100,15,100,0.9805098415073168,0.8607287449392713,0.9988173415082008
59,X_bot_feat,20,100,15,200,0.9808523072607416,0.8632928475033739,0.9988173415082008
60,X_bot_feat,20,250,5,100,0.9818761980457247,0.8788798920377868,0.9976346830164016
61,X_bot_feat,20,250,5,200,0.9822198326242463,0.8789473684210526,0.9980283838038032
62,X_bot_feat,20,250,10,100,0.9815337322923,0.87361673414305,0.9980283838038032
63,X_bot_feat,20,250,10,200,0.9815349011173969,0.87361673414305,0.9980283838038032
64,X_bot_feat,20,250,15,100,0.9801650381036981,0.87361673414305,0.9964520245246025
65,X_bot_feat,20,250,15,200,0.9815349011173969,0.8736842105263157,0.9980283838038032
66,X_bot_feat,20,500,5,100,0.9811936041890693,0.8840755735492578,0.9960598798667952
67,X_bot_feat,20,500,5,200,0.9811936041890693,0.8841430499325236,0.9960598798667952
68,X_bot_feat,20,500,10,100,0.9805075038571228,0.8866396761133604,0.9948756652454016
69,X_bot_feat,20,500,10,200,0.98050867268222,0.8815114709851551,0.9956646229497992
70,X_bot_feat,20,500,15,100,0.9798249100004675,0.8815114709851551,0.9948756652454016
71,X_bot_feat,20,500,15,200,0.9798237411753707,0.8763157894736843,0.9956646229497992
72,X_bot_svd,5,50,5,100,0.9654705689840574,0.7709176788124157,0.9952693660328032
73,X_bot_svd,5,50,5,200,0.9644443405488804,0.7657894736842106,0.9948741091158071
74,X_bot_svd,5,50,10,100,0.9651269344055358,0.7657894736842106,0.9956615106906103
75,X_bot_svd,5,50,10,200,0.9651281032306327,0.7657894736842106,0.9956615106906103
